name,gender,age,steps,date,hightemp,watereq,snowfall
Beijing,M,20-29,8367,1/6/2014,88,0.44,0
Beijing,M,30-39,6461,1/6/2014,88,0.44,0
Beijing,M,40-49,6283,1/6/2014,88,0.44,0
Beijing,M,50-59,9106,1/6/2014,88,0.44,0
Beijing,M,All,6951,1/6/2014,88,0.44,0
Beijing,F,20-29,5951,1/6/2014,88,0.44,0
Beijing,F,30-39,5530,1/6/2014,88,0.44,0
Beijing,F,40-49,6116,1/6/2014,88,0.44,0
Beijing,F,50-59,10883,1/6/2014,88,0.44,0
Beijing,F,60+,3710,1/6/2014,88,0.44,0
Beijing,F,All,5791,1/6/2014,88,0.44,0
Beijing,All,20-29,7159,1/6/2014,88,0.44,0
Beijing,All,30-39,6204,1/6/2014,88,0.44,0
Beijing,All,40-49,6215,1/6/2014,88,0.44,0
Beijing,All,50-59,9379,1/6/2014,88,0.44,0
Beijing,All,60+,3710,1/6/2014,88,0.44,0
Beijing,All,All,6543,1/6/2014,88,0.44,0
Beijing,M,20-29,8708,2/6/2014,79,0,0
Beijing,M,30-39,5986,2/6/2014,79,0,0
Beijing,M,40-49,5742,2/6/2014,79,0,0
Beijing,M,50-59,12855,2/6/2014,79,0,0
Beijing,M,All,7124,2/6/2014,79,0,0
Beijing,F,20-29,4850,2/6/2014,79,0,0
Beijing,F,30-39,6284,2/6/2014,79,0,0
Beijing,F,40-49,7752,2/6/2014,79,0,0
Beijing,F,50-59,14530,2/6/2014,79,0,0
Beijing,F,60+,3664,2/6/2014,79,0,0
Beijing,F,All,6373,2/6/2014,79,0,0
Beijing,All,20-29,6717,2/6/2014,79,0,0
Beijing,All,30-39,6063,2/6/2014,79,0,0
Beijing,All,40-49,6603,2/6/2014,79,0,0
Beijing,All,50-59,13094,2/6/2014,79,0,0
Beijing,All,60+,3664,2/6/2014,79,0,0
Beijing,All,All,6858,2/6/2014,79,0,0
Beijing,M,20-29,9366,3/6/2014,90,0,0
Beijing,M,30-39,7074,3/6/2014,90,0,0
Beijing,M,40-49,4311,3/6/2014,90,0,0
Beijing,M,50-59,9400,3/6/2014,90,0,0
Beijing,M,All,7114,3/6/2014,90,0,0
Beijing,F,20-29,7400,3/6/2014,90,0,0
Beijing,F,30-39,5125,3/6/2014,90,0,0
Beijing,F,40-49,6414,3/6/2014,90,0,0
Beijing,F,50-59,6653,3/6/2014,90,0,0
Beijing,F,60+,5010,3/6/2014,90,0,0
Beijing,F,All,6162,3/6/2014,90,0,0
Beijing,All,20-29,8318,3/6/2014,90,0,0
Beijing,All,30-39,6580,3/6/2014,90,0,0
Beijing,All,40-49,5282,3/6/2014,90,0,0
Beijing,All,50-59,9034,3/6/2014,90,0,0
Beijing,All,60+,5010,3/6/2014,90,0,0
Beijing,All,All,6772,3/6/2014,90,0,0
Beijing,M,20-29,9403,4/6/2014,88,0,0
Beijing,M,30-39,7021,4/6/2014,88,0,0
Beijing,M,40-49,4848,4/6/2014,88,0,0
Beijing,M,50-59,7457,4/6/2014,88,0,0
Beijing,M,60+,5170,4/6/2014,88,0,0
Beijing,M,All,6970,4/6/2014,88,0,0
Beijing,F,20-29,6451,4/6/2014,88,0,0
Beijing,F,30-39,5405,4/6/2014,88,0,0
Beijing,F,40-49,5554,4/6/2014,88,0,0
Beijing,F,50-59,9996,4/6/2014,88,0,0
Beijing,F,60+,6402,4/6/2014,88,0,0
Beijing,F,All,5961,4/6/2014,88,0,0
Beijing,All,20-29,7784,4/6/2014,88,0,0
Beijing,All,30-39,6580,4/6/2014,88,0,0
Beijing,All,40-49,5162,4/6/2014,88,0,0
Beijing,All,50-59,7756,4/6/2014,88,0,0
Beijing,All,60+,6155,4/6/2014,88,0,0
Beijing,All,All,6605,4/6/2014,88,0,0
Beijing,M,20-29,6570,5/6/2014,93,0,0
Beijing,M,30-39,6704,5/6/2014,93,0,0
Beijing,M,40-49,4308,5/6/2014,93,0,0
Beijing,M,50-59,7383,5/6/2014,93,0,0
Beijing,M,60+,1134,5/6/2014,93,0,0
Beijing,M,All,6212,5/6/2014,93,0,0
Beijing,F,20-29,5306,5/6/2014,93,0,0
Beijing,F,30-39,4225,5/6/2014,93,0,0
Beijing,F,40-49,5038,5/6/2014,93,0,0
Beijing,F,50-59,5375,5/6/2014,93,0,0
Beijing,F,60+,3100,5/6/2014,93,0,0
Beijing,F,All,4683,5/6/2014,93,0,0
Beijing,All,20-29,5880,5/6/2014,93,0,0
Beijing,All,30-39,6053,5/6/2014,93,0,0
Beijing,All,40-49,4577,5/6/2014,93,0,0
Beijing,All,50-59,7132,5/6/2014,93,0,0
Beijing,All,60+,2772,5/6/2014,93,0,0
Beijing,All,All,5682,5/6/2014,93,0,0
Beijing,M,20-29,7304,6/6/2014,81,0.44,0
Beijing,M,30-39,6688,6/6/2014,81,0.44,0
Beijing,M,40-49,5266,6/6/2014,81,0.44,0
Beijing,M,50-59,6768,6/6/2014,81,0.44,0
Beijing,M,All,6487,6/6/2014,81,0.44,0
Beijing,F,20-29,5392,6/6/2014,81,0.44,0
Beijing,F,30-39,5808,6/6/2014,81,0.44,0
Beijing,F,40-49,5249,6/6/2014,81,0.44,0
Beijing,F,50-59,5215,6/6/2014,81,0.44,0
Beijing,F,60+,4856,6/6/2014,81,0.44,0
Beijing,F,All,5466,6/6/2014,81,0.44,0
Beijing,All,20-29,6228,6/6/2014,81,0.44,0
Beijing,All,30-39,6448,6/6/2014,81,0.44,0
Beijing,All,40-49,5259,6/6/2014,81,0.44,0
Beijing,All,50-59,6509,6/6/2014,81,0.44,0
Beijing,All,60+,4856,6/6/2014,81,0.44,0
Beijing,All,All,6120,6/6/2014,81,0.44,0
Beijing,M,20-29,7816,7/6/2014,86,0,0
Beijing,M,30-39,7076,7/6/2014,86,0,0
Beijing,M,40-49,7631,7/6/2014,86,0,0
Beijing,M,50-59,8268,7/6/2014,86,0,0
Beijing,M,All,7454,7/6/2014,86,0,0
Beijing,F,20-29,6909,7/6/2014,86,0,0
